dropout,loss,acc,mae,mse,val_loss,val_acc,val_mae,val_mse
0.0,0.0001060751746990718,1.0,2.120984390785452e-05,1.0272257711108068e-08,1.1124804019927979,0.8093000054359436,0.0395798459649086,0.032307036221027374
0.1,0.036380935460329056,0.9871199727058411,0.003983462229371071,0.0019557473715394735,0.9973930716514587,0.805899977684021,0.04076467826962471,0.03195289149880409
0.2,0.0679190456867218,0.9765400290489197,0.0068747736513614655,0.0035564987920224667,0.777025043964386,0.8197000026702881,0.03865702822804451,0.028398428112268448
0.3,0.11342572420835495,0.9602400064468384,0.011579710990190506,0.005916110705584288,0.6354010701179504,0.8321999907493591,0.037325166165828705,0.025799155235290527
0.4,0.20075951516628265,0.9294999837875366,0.02034391276538372,0.01043180376291275,0.5289881825447083,0.8382999897003174,0.03819088265299797,0.023519087582826614
0.5,0.3679306209087372,0.8686400055885315,0.03622860461473465,0.018702387809753418,0.4880705177783966,0.8335999846458435,0.04564091935753822,0.02358548901975155
0.6,0.5345268845558167,0.8139600157737732,0.05125409737229347,0.026190849021077156,0.5644766688346863,0.807200014591217,0.05212854593992233,0.027142785489559174
0.7,0.7132277488708496,0.7520800232887268,0.06750158965587616,0.03436770662665367,0.6691592335700989,0.7675999999046326,0.06322433799505234,0.03221466764807701
0.8,1.0199676752090454,0.6452800035476685,0.09353013336658478,0.0472823828458786,1.0987178087234497,0.621399998664856,0.09003179520368576,0.051348816603422165
0.9,1.5432828664779663,0.4406000077724457,0.13624964654445648,0.06922218948602676,1.6226978302001953,0.41670000553131104,0.13387659192085266,0.0720035657286644
