dropout,loss,acc,mae,mse,val_loss,val_acc,val_mae,val_mse
0.0,0.014523733407258987,0.9964500069618225,0.19670487940311432,0.14233927428722382,0.08393862098455429,0.9775999784469604,0.19693554937839508,0.1432279348373413
0.1,0.02496420405805111,0.9919166564941406,0.21384617686271667,0.15455055236816406,0.06854528188705444,0.9790999889373779,0.2111484557390213,0.1509695053100586
0.2,0.02822488360106945,0.9910333156585693,0.21036329865455627,0.1512589156627655,0.06540744751691818,0.9803000092506409,0.20634180307388306,0.14591126143932343
0.3,0.0349126011133194,0.9883666634559631,0.19254480302333832,0.13276290893554688,0.06546501070261002,0.9811000227928162,0.1880899965763092,0.12646710872650146
0.4,0.04057203233242035,0.9871000051498413,0.20722253620624542,0.14341150224208832,0.0654757022857666,0.98089998960495,0.20086196064949036,0.13623401522636414
0.5,0.05284278467297554,0.982783317565918,0.2021719217300415,0.1373050957918167,0.06563442945480347,0.9800000190734863,0.19544075429439545,0.12895208597183228
0.6,0.06572055071592331,0.9787999987602234,0.19612374901771545,0.1291508972644806,0.0734955370426178,0.9779000282287598,0.18447649478912354,0.11563844978809357
0.7,0.0919332355260849,0.9709166884422302,0.20653262734413147,0.1349516063928604,0.08182810992002487,0.9753999710083008,0.19222086668014526,0.1185988187789917
0.8,0.13952147960662842,0.9572833180427551,0.24002239108085632,0.15911245346069336,0.10517615079879761,0.9678999781608582,0.2226070761680603,0.13764767348766327
0.9,0.29140058159828186,0.9188166856765747,0.21357926726341248,0.12849268317222595,0.18633462488651276,0.9455000162124634,0.18014100193977356,0.09589691460132599
