dropout,loss,acc,mae,mse,val_loss,val_acc,val_mae,val_mse
0.0,0.0001060751746990718,1.0,2.120984390785452e-05,1.0272257711108068e-08,1.1124804019927979,0.8093000054359436,0.0395798459649086,0.032307036221027374
0.1,0.04297572746872902,0.9848999977111816,0.0046291230246424675,0.002293712692335248,1.0532504320144653,0.8069000244140625,0.04112609475851059,0.03229065611958504
0.2,0.08197344094514847,0.9709200263023376,0.00857382733374834,0.004346049390733242,0.7742194533348083,0.8219000101089478,0.03895676136016846,0.028148021548986435
0.3,0.14943857491016388,0.9471799731254578,0.015387451276183128,0.007835752330720425,0.6136761903762817,0.830299973487854,0.03778992220759392,0.025593174621462822
0.4,0.28912708163261414,0.8991600275039673,0.028743695467710495,0.014763791114091873,0.5288676619529724,0.8296999931335449,0.04324045404791832,0.024729302152991295
0.5,0.4765532314777374,0.832859992980957,0.046126026660203934,0.023735258728265762,0.5171887278556824,0.8258000016212463,0.049886275082826614,0.024959933012723923
0.6,0.6545106768608093,0.7713599801063538,0.06201793998479843,0.03175007179379463,0.5854937434196472,0.8004999756813049,0.05873360112309456,0.02853577584028244
0.7,0.8728250861167908,0.6965799927711487,0.08078121393918991,0.04135174676775932,0.8793731331825256,0.692799985408783,0.07854160666465759,0.042136888951063156
0.8,1.2427042722702026,0.5634199976921082,0.11293104290962219,0.05700153857469559,1.4717062711715698,0.5163999795913696,0.11009222269058228,0.06539773941040039
0.9,1.826013445854187,0.30156001448631287,0.15742254257202148,0.07943908125162125,3.8041465282440186,0.17299999296665192,0.1701207309961319,0.10485038161277771
