dropout,loss,acc,mae,mse,val_loss,val_acc,val_mae,val_mse
0.0,0.25978660583496094,0.9303138256072998,0.026198403909802437,0.010877755470573902,0.5128170251846313,0.8624385595321655,0.037773869931697845,0.02031841315329075
0.1,0.27621060609817505,0.9201714396476746,0.027575265616178513,0.012070178985595703,0.4544879198074341,0.8729640245437622,0.035385143011808395,0.018580362200737
0.2,0.3065914213657379,0.9085001945495605,0.030100936070084572,0.013487259857356548,0.4531315565109253,0.8703518509864807,0.0361148938536644,0.018869780004024506
0.3,0.33078283071517944,0.9010196924209595,0.03209741413593292,0.014618512243032455,0.4403817355632782,0.8725798726081848,0.0357084646821022,0.018281947821378708
0.4,0.38554537296295166,0.8845025300979614,0.036658670753240585,0.016946319490671158,0.4509003162384033,0.8690457940101624,0.03753834217786789,0.018971296027302742
0.5,0.4631117880344391,0.8611327409744263,0.04307693988084793,0.020264780148863792,0.47233280539512634,0.8597495555877686,0.04086042568087578,0.020098064094781876
0.6,0.537185549736023,0.8379130959510803,0.04917369782924652,0.023410659283399582,0.49716487526893616,0.8541410565376282,0.04345393553376198,0.02101171761751175
0.7,0.9031013250350952,0.7056527137756348,0.08049876987934113,0.039035674184560776,0.6956750154495239,0.8219115138053894,0.06806246191263199,0.029431737959384918
0.8,1.4455883502960205,0.5085247755050659,0.12010909616947174,0.05878620967268944,1.2590161561965942,0.622464656829834,0.11071603745222092,0.050848010927438736
0.9,2.2120847702026367,0.18728585541248322,0.17476437985897064,0.08733224123716354,2.1664106845855713,0.19587430357933044,0.1745336800813675,0.08601222187280655
